question_id,question,ground_truth_query,generated_query,success,total_iterations,first_attempt_valid,bleu,rouge_l_f1,jaro_winkler,jaccard_cypher,pass_at_1,jaccard_output,llmetric_q,reasoning_level,sublevel,complexity,errors_encountered
1,Berapakah jumlah SKS untuk mata kuliah 'Aljabar Linear'?,MATCH (n:MK {nama: 'Aljabar Linear'}) RETURN n.sks,"MATCH (m:MK {nama: ""Aljabar Linear""}) RETURN m.sks",True,1,True,0.3641410562218426,0.7778,0.9437904468412943,0.45454545454545453,True,1.0,100.0,Fakta Eksplisit,Nodes,Easy,
2,Apakah nama lengkap dari mata kuliah dengan kode 'TKU211131'?,MATCH (n:MK {kode: 'TKU211131'}) RETURN n.nama,"MATCH (m:MK {kode: ""TKU211131""}) RETURN m.nama",True,1,True,0.391295029958458,0.75,0.96698752228164,0.5555555555555556,True,1.0,100.0,Fakta Eksplisit,Nodes,Easy,
3,Bagaimanakah deskripsi untuk Capaian Lulusan (SO) dengan kode 'KP.1'?,MATCH (n:SO {kode: 'KP.1'}) RETURN n.deskripsi,"MATCH (s:SO {kode: ""KP.1""}) RETURN s.deskripsi",True,1,True,0.34740317390504205,0.7778,0.9530619000331016,0.45454545454545453,True,1.0,100.0,Fakta Eksplisit,Nodes,Easy,
4,Tampilkan seluruh mata kuliah yang ditawarkan pada semester 1.,MATCH (n:MK) WHERE n.semester = 1 RETURN n.nama,MATCH (m:MK {semester: 1}) RETURN m,True,1,True,6.701920290962685e-155,0.5882,0.8507131465026202,0.5,False,0.14285714285714285,50.05170858965596,Fakta Eksplisit,Nodes,Easy,
5,Tampilkan nama dan kode untuk semua mata kuliah yang memiliki tipe 'Pilihan'.,"MATCH (n:MK) WHERE n.tipe = 'Pilihan' RETURN n.nama, n.kode","MATCH (m:MK {tipe: ""Pilihan""}) RETURN m.nama, m.kode",True,1,True,3.6931552050118157e-78,0.6364,0.8707142857142858,0.5,True,1.0,100.0,Fakta Eksplisit,Nodes,Easy,
6,Apa sajakah klasifikasi unik yang ada untuk semua mata kuliah?,MATCH (n:MK) RETURN DISTINCT n.klasifikasi,MATCH (m:MK) RETURN DISTINCT m.klasifikasi,True,1,True,0.4497332084013506,0.7143,0.9833333333333334,0.7142857142857143,True,1.0,100.0,Fakta Eksplisit,Nodes,Medium,
7,Berapakah jumlah total mata kuliah yang bertipe 'Wajib'?,MATCH (n:MK) WHERE n.tipe = 'Wajib' RETURN COUNT(n),"MATCH (m:MK {tipe: ""Wajib""}) RETURN COUNT(m)",True,1,True,3.7898575049867687e-78,0.6667,0.8754215918045706,0.45454545454545453,True,1.0,100.0,Fakta Eksplisit,Nodes,Medium,
8,"Tampilkan semua mata kuliah, diurutkan berdasarkan semester dari awal hingga akhir.","MATCH (n:MK) RETURN n.nama, n.semester ORDER BY n.semester",MATCH (m:MK) RETURN m ORDER BY m.semester ASC,True,1,True,0.1860067949655926,0.5455,0.843949864867316,0.6,False,0.2777777777777778,52.50280487989214,Fakta Eksplisit,Nodes,Medium,
9,Sebutkan 5 mata kuliah yang diurutkan berdasarkan namanya.,MATCH (n:MK) RETURN n.nama ORDER BY n.nama LIMIT 5,MATCH (m:MK) RETURN m.nama ORDER BY m.nama LIMIT 5,True,1,True,0.4583034067124109,0.75,0.9684012539184953,0.8,True,1.0,100.0,Fakta Eksplisit,Nodes,Medium,
10,Berapakah rata-rata jumlah SKS pada tiap semester.,"MATCH (n:MK) RETURN n.semester, AVG(n.sks) ORDER BY n.semester",MATCH (m:MK) RETURN avg(m.sks) AS RataRataSKS,True,1,True,0.1707306110886877,0.4545,0.6842843641089256,0.4166666666666667,False,0.0,45.69392182054463,Fakta Eksplisit,Nodes,Medium,
11,Berapakah SKS minimum dan maksimum untuk mata kuliah dengan klasifikasi 'Sains Dasar'?,"MATCH (n:MK) WHERE n.klasifikasi = 'Sains Dasar' RETURN MIN(n.sks), MAX(n.sks)","MATCH (m:MK {klasifikasi: ""Sains Dasar""}) RETURN MIN(m.sks) AS MinSKS, MAX(m.sks) AS MaxSKS",True,1,True,5.064072457112733e-78,0.625,0.8523316249061917,0.3888888888888889,True,1.0,100.0,Fakta Eksplisit,Nodes,Medium,
12,Apa saja 'jalur' peminatan mata kuliah yang terdapat pada kurikulum?,MATCH (n:MK) WHERE n.jalur IS NOT NULL RETURN DISTINCT n.jalur,MATCH (m:MK) RETURN DISTINCT m.jalur,True,1,True,2.984428797065476e-78,0.5,0.8447619047619048,0.45454545454545453,False,0.8,62.72380952380952,Fakta Eksplisit,Nodes,Medium,
13,Tolong daftarkan mata kuliah di tiap semester dan diurutkan per semester.,"MATCH (n:MK) WITH n.semester AS semester, COLLECT(n.nama) AS daftarMataKuliah RETURN semester, daftarMataKuliah ORDER BY semester","MATCH (m:MK) RETURN m.semester, COLLECT(m.nama) AS MataKuliah ORDER BY m.semester",True,1,True,0.2512688317737686,0.5294,0.8385632303579014,0.6428571428571429,True,1.0,100.0,Fakta Eksplisit,Nodes,Hard,
14,Kelompokkan semua nama mata kuliah berdasarkan tipenya.,"MATCH (n:MK) WITH n.tipe AS tipeMK, COLLECT(n.nama) AS daftarMatkul RETURN tipeMK, daftarMatkul","MATCH (m:MK) RETURN m.tipe AS Tipe, COLLECT(m.nama) AS NamaMataKuliah GROUP BY m.tipe",False,3,False,0.21729983079834317,0.4242,0.8420314253647587,0.4375,False,0.0,6.331157126823794,Fakta Eksplisit,Nodes,Hard,syntax_error
15,"Untuk mata kuliah 'Aljabar Linear' dan 'Statistika', kumpulkan semua deskripsi topik dari kedua mata kuliah tersebut.","UNWIND ['Aljabar Linear', 'Statistika'] AS namaMK MATCH (t:topic {MK: namaMK}) RETURN namaMK, COLLECT(t.deskripsi) AS daftarTopik","MATCH (t:topic)-[:PURSUED_IN]->(m:MK {nama: ""Aljabar Linear"" OR nama: ""Statistika""}) RETURN t.deskripsi",False,3,False,0.2089685256289425,0.4118,0.7270717038639601,0.2857142857142857,False,0.0,5.694358519319802,Fakta Eksplisit,Nodes,Hard,syntax_error
16,"Hitung jumlah total mata kuliah, dan berikan juga jumlah mata kuliah yang memiliki klasifikasi 'Sains Dasar'.","MATCH (n:MK) WITH n, CASE WHEN n.klasifikasi = 'Sains Dasar' THEN 1 ELSE 0 END AS isSainsDasar RETURN count(n) AS total, sum(isSainsDasar) AS totalSainsDasar","MATCH (m:MK) RETURN COUNT(m) AS TotalMataKuliah, COUNT(CASE WHEN m.klasifikasi = ""Sains Dasar"" THEN 1 ELSE NULL END) AS JumlahMataKuliahSainsDasar",True,1,True,3.9073619648209076e-78,0.4898,0.8340715764839919,0.4642857142857143,True,1.0,100.0,Fakta Eksplisit,Nodes,Hard,
17,Sebutkan topik dan deskripsinya yang dibahas dalam mata kuliah 'Aljabar Linear',"MATCH (t:topic)-[:PURSUED_IN]->(m:MK {nama: 'Aljabar Linear'}) RETURN t.nama, t.deskripsi","MATCH (t:topic)-[:PURSUED_IN]->(m:MK {nama: ""Aljabar Linear""}) RETURN t.deskripsi",True,1,True,0.730849404205792,0.9286,0.9728253182461103,0.6923076923076923,False,0.5,59.50712659123055,Fakta Implisit,One-hop,Easy,
18,Apakah Capaian Pembelajaran (LO) yang diharapkan dari mata kuliah 'Pemrograman Dasar'?,MATCH (l:LO)-[:PURSUED_IN]->(m:MK {nama: 'Pemrograman Dasar'}) RETURN l.deskripsi,"MATCH (m:MK {nama: ""Pemrograman Dasar""})<-[:PURSUED_IN]-(l:LO) RETURN l.nama",True,2,False,0.5542373671228978,0.6154,0.8703939289277765,0.6153846153846154,False,0.0,47.42896964463888,Fakta Implisit,One-hop,Easy,schema_error
19,Apakah Tujuan Pembelajaran (LG) dari mata kuliah 'Aljabar Linear'?,MATCH (l:LG)-[:PURSUED_IN]->(m:MK {nama: 'Aljabar Linear'}) RETURN l.deskripsi,"MATCH (m:MK {nama: ""Aljabar Linear""})<-[:PURSUED_IN]-(lg:LG) RETURN lg.nama",True,2,False,0.40877068217914186,0.5385,0.8888873444114488,0.5,False,0.0,47.13693672205724,Fakta Implisit,One-hop,Easy,schema_error
20,Mata kuliah apa yang mencakup topik dengan deskripsi 'Determinan'?,MATCH (t:topic {deskripsi: 'Determinan'})-[:PURSUED_IN]->(m:MK) RETURN m.nama,"MATCH (t:topic {deskripsi: ""Determinan""})-[:PURSUED_IN]->(m:MK) RETURN m.nama",True,1,True,0.8942255541978509,1.0,0.9917525773195877,0.8181818181818182,True,1.0,100.0,Fakta Implisit,One-hop,Easy,
21,Mata kuliah apa yang menjadi prasyarat untuk mengambil 'Kecerdasan Buatan'?,MATCH (p:MK)-[:PREREQUISITE]->(t:MK {nama: 'Kecerdasan Buatan'}) RETURN p.nama,"MATCH (p:MK {nama: ""Kecerdasan Buatan""})-[:PREREQUISITE]->(m:MK) RETURN m.nama",True,1,True,0.5902618763504731,0.6667,0.9070777247069041,0.5,False,0.0,47.86888862353452,Fakta Implisit,One-hop,Easy,
22,Mata kuliah apa yang dapat diparalelkan dengan 'Fisika Mekanika Klasik'?,MATCH (m1:MK {nama: 'Fisika Mekanika Klasik'})-[:CAN_PARALLELIZED]->(m2:MK) RETURN m2.nama,"MATCH (m:MK)-[r:CAN_PARALLELIZED]->(t:MK {nama: ""Fisika Mekanika Klasik""}) RETURN m.nama",False,3,False,0.3791195357747049,0.5517,0.9145319817796882,0.4,False,0.0,7.331159908898441,Fakta Implisit,One-hop,Easy,empty_result
23,Berapakah jumlah topik yang ada pada mata kuliah 'Aljabar Linear'?,MATCH (t:topic)-[:PURSUED_IN]->(m:MK {nama: 'Aljabar Linear'}) RETURN count(t),"MATCH (m:MK {nama: ""Aljabar Linear""})<-[:PURSUED_IN]-(t:topic) RETURN COUNT(t)",True,2,False,0.5100759298724028,0.6923,0.8863580863580863,0.6923076923076923,True,1.0,100.0,Fakta Implisit,One-hop,Medium,schema_error
24,Sebutkan kode Capaian Lulusan (SO) unik yang dikejar (pursued) pada mata kuliah semester 1.,MATCH (s:SO)-[:PURSUED_IN]->(m:MK) WHERE m.semester = 1 RETURN DISTINCT s.kode,"MATCH (s:SO)-[:PURSUED_IN]->(m:MK {semester: 1}) RETURN s.kode, s.deskripsi",True,1,True,0.5897438648504479,0.8276,0.8973947134800614,0.7142857142857143,False,0.1956521739130435,52.53801704566118,Fakta Implisit,One-hop,Medium,
25,"Tampilkan mata kuliah beserta jumlah topiknya, diurutkan secara menurun berdasarkan jumlah topik.","MATCH (t:topic)-[:PURSUED_IN]->(m:MK) RETURN m.nama, count(t) AS jumlahTopik ORDER BY jumlahTopik DESC","MATCH (m:MK)-[:PURSUED_IN]->(t:topic) RETURN m.nama AS MataKuliah, COUNT(t.deskripsi) AS JumlahTopik ORDER BY JumlahTopik DESC",False,3,False,0.5282160509562954,0.7179,0.8864368021349524,0.7647058823529411,False,0.0,8.021684010674761,Fakta Implisit,One-hop,Medium,schema_error
26,Identifikasi 3 mata kuliah teratas yang memiliki jumlah topik terbanyak.,"MATCH (t:topic)-[:PURSUED_IN]->(m:MK) RETURN m.nama, count(t) AS jumlahTopik ORDER BY jumlahTopik DESC LIMIT 3","MATCH (m:MK)-[:PURSUED_IN]->(t:topic) RETURN m.nama, COUNT(t.deskripsi) AS JumlahTopik ORDER BY JumlahTopik DESC LIMIT 3",False,3,False,0.5839833321388568,0.7805,0.9122498662353091,0.8333333333333334,False,0.0,8.463749331176546,Fakta Implisit,One-hop,Medium,schema_error
27,Berapa mata kuliah prasyarat untuk mengambil mata kuliah Proyek Senior Teknologi Informasi?,MATCH (p:MK)-[:PREREQUISITE]->(t:MK {nama: 'Proyek Senior Teknologi Informasi'}) RETURN COUNT(p),"MATCH (p:MK {nama: ""Proyek Senior Teknologi Informasi""})-[:PREREQUISITE]->(m:MK) RETURN COUNT(m)",True,1,True,0.5940331937203346,0.7143,0.9226079721654942,0.6,False,0.0,48.18453986082747,Fakta Implisit,One-hop,Medium,
28,Mata kuliah manakah yang paling banyak menjadi prasyarat bagi mata kuliah lainnya?,"MATCH (p:MK)-[:PREREQUISITE]->(t:MK) RETURN p.nama, count(t) AS jumlahMatkul ORDER BY jumlahMatkul DESC LIMIT 1","MATCH (m:MK)-[:PREREQUISITE]->(p:MK) RETURN m.nama AS MataKuliah, COUNT(p) AS JumlahPrasyarat ORDER BY JumlahPrasyarat DESC LIMIT 1",True,1,True,0.480564832262794,0.65,0.9091011987446622,0.7222222222222222,True,1.0,100.0,Fakta Implisit,One-hop,Medium,
29,Sebutkan semua topik dari 'Metode Numeris' yang termasuk dalam 'LO1' atau 'LO2'.,"MATCH (t:topic)-[:PART_OF]->(l:LO {MK: 'Metode Numeris'}) WHERE l.nama IN ['LO1', 'LO2'] RETURN l.nama, t.deskripsi","MATCH (t:topic)-[:PART_OF]->(l:LO {nama: ""LO1"" OR nama: ""LO2""})-[:PURSUED_IN]->(m:MK {nama: ""Metode Numeris""}) RETURN t.deskripsi",False,3,False,0.4120687538741461,0.6047,0.8866810399965888,0.43478260869565216,False,0.0,7.456905199982945,Fakta Implisit,One-hop,Medium,syntax_error
30,Tolong kumpulkan semua deskripsi topik yang diajarkan di mata kuliah 'Aljabar Linear'.,"MATCH (t:topic)-[:PURSUED_IN]->(m:MK {nama: 'Aljabar Linear'}) WITH m, COLLECT(t.deskripsi) AS daftarTopik RETURN m.nama, daftarTopik","MATCH (t:topic)-[:PURSUED_IN]->(m:MK {nama: ""Aljabar Linear""}) RETURN t.deskripsi",True,1,True,0.47825674817983227,0.7059,0.8995875837583759,0.5294117647058824,False,0.0,48.02743791879188,Fakta Implisit,One-hop,Hard,
